mpg,cylinders,displacement,horsepower,weight,acceleration,Model year,maker
Bad,8,201 to 400,101 to 200,4001 to 5000,12 to 14.9,70 to 74,America
Bad,8,201 to 400,101 to 200,4001 to 5000,12 to 14.9,70 to 74,America
Bad,8,201 to 400,101 to 200,3001 to 4000,12 to 14.9,70 to 74,America
Bad,4,101 to 200,81 to 100,2001 to 3000,12 to 14.9,79 to 83,America
Good,4,101 to 200,81 to 100,2001 to 3000,12 to 14.9,79 to 83,America
Good,6,101 to 200,101 to 200,2001 to 3000,12 to 14.9,79 to 83,Europe
Good,4,79 to 100,60 to 80,1500 to 2000,12 to 14.9,79 to 83,Asia
Bad,8,201 to 400,101 to 200,4001 to 5000,12 to 14.9,75 to 78,America
Good,4,101 to 200,81 to 100,2001 to 3000,12 to 14.9,75 to 78,Europe
Good,4,101 to 200,81 to 100,2001 to 3000,12 to 14.9,79 to 83,America
Good,4,79 to 100,60 to 80,1500 to 2000,12 to 14.9,75 to 78,Asia
Good,4,101 to 200,81 to 100,2001 to 3000,12 to 14.9,70 to 74,Europe
Good,4,101 to 200,81 to 100,2001 to 3000,12 to 14.9,75 to 78,Asia
Bad,4,101 to 200,101 to 200,2001 to 3000,12 to 14.9,70 to 74,Asia
Bad,8,201 to 400,101 to 200,4001 to 5000,12 to 14.9,70 to 74,America
Bad,4,101 to 200,60 to 80,2001 to 3000,12 to 14.9,79 to 83,America
Good,4,101 to 200,60 to 80,2001 to 3000,12 to 14.9,79 to 83,America
Bad,8,201 to 400,101 to 200,3001 to 4000,15 to 17.9,79 to 83,America
Good,4,101 to 200,60 to 80,2001 to 3000,15 to 17.9,70 to 74,Asia
Bad,4,101 to 200,101 to 200,2001 to 3000,15 to 17.9,70 to 74,Asia
Bad,6,101 to 200,101 to 200,3001 to 4000,15 to 17.9,75 to 78,Asia
Good,4,79 to 100,60 to 80,2001 to 3000,15 to 17.9,75 to 78,Europe
Bad,6,201 to 400,81 to 100,3001 to 4000,15 to 17.9,75 to 78,America
Good,4,79 to 100,60 to 80,1500 to 2000,15 to 17.9,79 to 83,Europe
Bad,6,201 to 400,101 to 200,3001 to 4000,15 to 17.9,75 to 78,America
Good,4,79 to 100,81 to 100,2001 to 3000,15 to 17.9,70 to 74,Asia
Bad,6,201 to 400,101 to 200,3001 to 4000,15 to 17.9,70 to 74,America
Good,4,101 to 200,81 to 100,2001 to 3000,15 to 17.9,75 to 78,Asia
Good,4,101 to 200,81 to 100,2001 to 3000,15 to 17.9,75 to 78,Europe
Good,4,79 to 100,60 to 80,1500 to 2000,15 to 17.9,79 to 83,Europe
Good,4,101 to 200,81 to 100,2001 to 3000,15 to 17.9,75 to 78,America
Good,6,201 to 400,81 to 100,3001 to 4000,15 to 17.9,75 to 78,America
Bad,6,201 to 400,81 to 100,3001 to 4000,15 to 17.9,75 to 78,America
Good,4,101 to 200,81 to 100,2001 to 3000,18 to 20,79 to 83,America
Good,4,101 to 200,81 to 100,2001 to 3000,18 to 20,79 to 83,America
Bad,6,101 to 200,81 to 100,2001 to 3000,18 to 20,79 to 83,America
Bad,6,201 to 400,101 to 200,3001 to 4000,18 to 20,75 to 78,America
Good,4,79 to 100,60 to 80,2001 to 3000,18 to 20,70 to 74,Europe
Good,4,79 to 100,60 to 80,1500 to 2000,18 to 20,70 to 74,Asia
Bad,8,201 to 400,101 to 200,4001 to 5000,18 to 20,75 to 78,America
Good,4,79 to 100,60 to 80,2001 to 3000,18 to 20,70 to 74,Asia
Bad,6,201 to 400,60 to 80,3001 to 4000,18 to 20,75 to 78,America